Airline,Source,Destination,Total_Stops,Additional_Info,Price,Date_of_Journey_Day,Date_of_Journey_Month,Date_of_Journey_Year,Dep_Time_Hour,Dep_Time_Minute,Arrival_Time_Hour,Arrival_Time_Minute,Duration_Hour,Duration_Minute
10,2,2,0,1,5769.0,21,6,2019,7,10,10,10,3,0
10,4,4,2,0,8372.0,6,6,2019,8,0,19,0,11,0
10,4,4,1,0,8372.0,3,6,2019,5,30,19,0,13,30
3,2,2,0,0,3359.0,3,6,2019,22,10,1,0,2,50
4,2,2,0,0,6722.0,3,3,2019,20,55,23,50,2,55
3,3,3,0,0,4462.0,18,3,2019,9,35,12,20,2,45
3,4,4,2,0,6171.0,9,3,2019,4,55,16,10,11,15
7,3,3,1,0,8372.0,21,5,2019,5,50,20,25,14,35
8,4,4,2,0,7695.0,21,3,2019,11,40,1,35,13,55
3,4,4,2,0,5684.0,24,6,2019,11,25,1,30,14,5
7,3,3,2,0,8366.0,12,6,2019,16,50,7,55,15,5
7,0,0,0,0,8372.0,1,3,2019,11,40,13,55,2,15
10,2,2,2,1,8372.0,6,3,2019,14,5,5,5,15,0
10,3,3,2,0,8372.0,1,5,2019,21,10,10,5,12,55
8,4,4,2,0,6513.0,12,6,2019,7,10,16,10,9,0
7,4,4,2,0,8372.0,1,6,2019,7,0,19,15,12,15
8,4,4,1,0,8372.0,6,6,2019,17,50,1,30,7,40
7,4,4,2,0,4487.0,9,4,2019,6,5,9,25,27,20
3,1,1,0,0,2754.0,15,3,2019,21,20,22,45,1,25
7,1,1,0,0,2575.0,27,3,2019,6,20,7,40,1,20
1,3,3,2,0,8224.0,12,6,2019,15,55,21,25,5,30
7,4,4,2,0,8372.0,9,3,2019,20,30,8,15,11,45
3,4,4,0,0,5000.0,24,6,2019,5,35,8,50,3,15
10,3,3,2,1,8372.0,12,6,2019,18,55,19,50,24,55
7,4,4,2,0,8372.0,3,3,2019,6,5,9,25,27,20
10,2,2,0,1,4030.0,24,5,2019,11,10,14,5,2,55
10,3,3,2,1,8372.0,6,6,2019,18,55,12,0,17,5
3,3,3,0,0,4804.0,6,5,2019,21,25,0,5,2,40
8,4,4,2,1,7308.0,27,5,2019,17,30,1,30,8,0
3,2,2,0,0,4823.0,12,5,2019,16,55,19,55,3,0
10,4,4,2,1,8372.0,24,6,2019,9,0,12,35,27,35
10,4,4,2,1,8372.0,27,5,2019,20,55,4,25,7,30
7,2,2,1,0,8372.0,12,3,2019,17,25,16,20,22,55
3,4,4,2,0,8372.0,3,3,2019,4,45,13,20,8,35
7,4,4,1,0,8372.0,21,3,2019,13,20,19,15,29,55
10,3,3,2,1,8372.0,6,6,2019,20,0,18,15,22,15
1,1,1,0,0,4129.0,6,3,2019,5,45,7,5,1,20
3,3,3,0,0,4804.0,18,5,2019,21,25,0,5,2,40
10,2,2,0,0,7229.0,6,5,2019,8,20,11,20,3,0
10,2,2,2,1,7832.0,21,3,2019,7,0,19,10,12,10
1,0,0,0,0,3859.0,18,3,2019,9,30,12,5,2,35
8,4,4,2,0,8372.0,6,6,2019,7,30,19,15,11,45
5,2,2,0,0,4878.0,9,5,2019,17,0,19,35,2,35
3,1,1,0,0,2754.0,3,5,2019,2,35,4,5,1,30
5,2,2,0,0,4668.0,27,6,2019,7,0,9,40,2,40
2,3,3,0,0,5216.0,12,5,2019,10,20,12,55,2,35
10,4,4,1,1,8372.0,6,6,2019,5,30,4,25,22,55
3,4,4,1,0,8146.0,9,3,2019,6,40,21,20,14,40
10,4,4,2,0,8372.0,27,3,2019,13,0,4,25,15,25
10,2,2,2,1,8372.0,15,3,2019,8,0,15,15,7,15
7,4,4,1,0,8372.0,6,6,2019,13,15,9,25,20,10
7,4,4,1,0,8372.0,6,6,2019,10,55,7,40,20,45
1,3,3,0,0,4174.0,24,4,2019,17,10,19,40,2,30
10,3,3,2,1,8372.0,21,5,2019,20,0,19,50,23,50
10,4,4,2,0,8372.0,3,6,2019,16,0,19,0,27,0
10,3,3,2,1,8372.0,12,6,2019,6,30,12,0,5,30
3,4,4,2,0,8372.0,3,3,2019,9,10,21,0,11,50
3,0,0,0,0,7295.0,6,3,2019,13,20,15,35,2,15
7,4,4,1,0,8372.0,6,6,2019,18,45,19,15,24,30
1,0,0,0,2,3543.0,21,5,2019,17,45,20,5,2,20
8,4,4,2,0,7198.0,27,6,2019,19,0,1,30,6,30
10,4,4,2,1,8372.0,1,6,2019,8,0,4,25,20,25
3,3,3,0,0,4148.0,15,3,2019,15,20,17,55,2,35
10,2,2,0,0,8016.0,27,6,2019,15,15,18,10,2,55
10,4,4,2,1,8372.0,9,6,2019,22,50,4,25,5,35
1,3,3,0,2,3841.0,15,6,2019,14,55,17,25,2,30
10,2,2,2,0,8372.0,12,3,2019,9,45,0,30,14,45
10,3,3,2,0,8372.0,1,5,2019,8,25,20,45,12,20
10,4,4,2,0,8372.0,27,5,2019,17,30,19,0,25,30
10,4,4,2,1,8372.0,27,5,2019,22,50,4,25,5,35
8,4,4,2,0,8372.0,6,3,2019,7,30,19,15,11,45
3,2,2,0,0,7303.0,24,3,2019,18,25,21,20,2,55
1,3,3,2,0,6197.0,24,3,2019,15,5,20,45,5,40
7,3,3,2,0,8372.0,9,6,2019,9,10,13,15,4,5
3,4,4,2,0,6528.0,21,3,2019,14,20,22,20,8,0
4,2,2,0,0,4239.0,9,4,2019,20,55,23,40,2,45
3,3,3,0,0,4148.0,12,3,2019,20,25,23,5,2,40
1,2,2,0,0,3971.0,24,5,2019,21,10,0,5,2,55
2,3,3,2,0,5192.0,6,5,2019,7,35,23,30,15,55
10,4,4,1,0,8372.0,9,4,2019,13,25,12,35,23,10
10,4,4,1,0,8372.0,3,6,2019,11,40,19,0,7,20
7,4,4,0,0,5201.0,18,6,2019,5,10,8,0,2,50
10,4,4,2,0,8372.0,27,5,2019,11,30,19,0,7,30
10,2,2,0,1,7229.0,15,6,2019,19,50,22,50,3,0
8,4,4,2,0,6795.0,27,5,2019,17,45,1,30,7,45
10,3,3,2,0,8372.0,9,5,2019,9,35,10,55,25,20
8,4,4,1,0,8372.0,24,6,2019,15,5,1,30,10,25
7,4,4,1,0,8372.0,9,4,2019,12,55,19,15,30,20
3,3,3,0,0,4804.0,6,6,2019,22,15,0,50,2,35
10,4,4,2,0,8372.0,27,5,2019,10,0,19,0,9,0
10,4,4,1,1,8372.0,12,6,2019,21,25,12,35,15,10
7,3,3,1,0,8372.0,9,6,2019,9,25,13,45,28,20
10,2,2,0,0,7229.0,24,4,2019,17,45,20,45,3,0
10,2,2,0,1,4544.0,27,4,2019,6,0,8,45,2,45
3,4,4,2,0,6496.0,15,5,2019,5,10,10,5,4,55
3,3,3,0,0,4804.0,15,6,2019,21,25,0,5,2,40
7,2,2,2,0,8372.0,1,3,2019,11,5,9,15,22,10
10,4,4,2,1,6540.0,27,3,2019,18,15,4,25,10,10
3,2,2,0,0,4591.0,1,6,2019,23,30,2,20,2,50
3,2,2,2,0,4437.0,18,3,2019,16,15,20,35,4,20
2,4,4,2,0,6151.0,21,3,2019,20,10,7,10,11,0
10,2,2,0,1,7754.0,21,6,2019,17,45,20,45,3,0
10,4,4,2,1,8372.0,24,6,2019,14,0,12,35,22,35
10,2,2,0,0,8016.0,9,6,2019,18,55,22,0,3,5
1,3,3,0,2,4781.0,24,3,2019,6,55,9,35,2,40
5,2,2,0,0,4668.0,27,6,2019,11,30,14,20,2,50
7,2,2,2,0,8372.0,6,3,2019,11,50,8,55,21,5
10,3,3,2,0,8372.0,24,3,2019,16,55,4,45,11,50
7,4,4,2,0,8372.0,15,5,2019,5,15,6,50,25,35
8,4,4,2,0,8372.0,12,6,2019,7,5,22,30,15,25
3,0,0,0,0,7295.0,3,3,2019,14,40,17,5,2,25
2,3,3,2,0,5162.0,9,4,2019,6,50,10,30,3,40
3,2,2,0,0,6860.0,9,3,2019,18,25,21,20,2,55
5,4,4,0,0,6216.0,15,4,2019,6,0,9,10,3,10
2,3,3,2,0,5192.0,24,5,2019,7,35,19,25,11,50
3,2,2,0,0,4823.0,9,4,2019,20,0,22,50,2,50
1,2,2,0,2,3919.0,3,4,2019,9,30,12,20,2,50
3,1,1,0,0,2754.0,3,6,2019,19,5,20,35,1,30
8,4,4,2,0,8372.0,9,5,2019,7,30,19,0,11,30
8,4,4,2,0,8372.0,27,3,2019,10,0,18,50,8,50
10,3,3,2,1,6224.0,12,6,2019,8,25,4,40,20,15
7,3,3,1,0,8372.0,24,3,2019,9,25,5,35,20,10
10,2,2,2,1,8372.0,18,3,2019,16,55,9,0,16,5
8,4,4,2,0,8372.0,6,3,2019,13,0,1,35,12,35
10,4,4,1,0,8372.0,9,5,2019,19,30,12,35,17,5
3,2,2,0,0,4823.0,9,4,2019,16,55,19,55,3,0
5,3,3,2,0,8372.0,1,5,2019,7,10,22,40,15,30
8,4,4,2,0,8372.0,6,6,2019,7,30,19,0,11,30
1,0,0,0,0,3384.0,27,3,2019,17,45,20,5,2,20
10,4,4,2,1,8372.0,1,6,2019,19,15,19,0,23,45
1,1,1,0,2,1965.0,18,6,2019,13,15,14,45,1,30
3,3,3,0,0,4804.0,18,5,2019,22,15,0,50,2,35
10,4,4,2,0,8372.0,27,5,2019,18,15,19,0,24,45
10,4,4,1,0,8372.0,1,6,2019,21,25,19,0,21,35
2,4,4,2,0,6751.0,9,5,2019,7,55,13,25,5,30
7,4,4,2,0,8372.0,15,5,2019,7,0,19,15,12,15
3,4,4,2,0,8372.0,3,3,2019,17,30,1,35,8,5
10,4,4,2,1,8372.0,21,5,2019,14,0,19,0,5,0
1,2,2,0,2,3919.0,6,6,2019,9,30,12,20,2,50
8,4,4,2,0,8372.0,1,3,2019,12,50,19,15,6,25
3,0,0,0,0,3597.0,3,6,2019,19,35,21,55,2,20
7,2,2,0,0,8372.0,9,3,2019,17,0,19,45,2,45
7,3,3,1,0,8372.0,6,6,2019,16,50,5,35,12,45
10,2,2,2,1,8372.0,12,3,2019,18,55,10,45,15,50
10,4,4,1,0,8372.0,3,6,2019,9,35,12,35,27,0
7,4,4,3,0,8372.0,15,6,2019,5,15,7,40,26,25
4,2,2,0,0,7631.0,9,3,2019,7,45,10,40,2,55
